company_name,establishment_name,state,naics_code,industry_description,size,employees,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases,risk_score,normalized_risk,injury_rate,fatality_rate,severity_load,lost_time_index,industry_avg_risk,risk_z_score,risk_category
United Cerebral Palsy of Georgia,United Cerebral Palsy of Georgia-Oswood,GA,624120,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",1,3.0,1,0,1,0,4.41,1470.0,333.33,0.0,1,141,5.72,-0.1,NORMAL RISK
Mohave County,Mohave County Fairgrounds,AZ,711310,"Fair managers with facilities, agricultural",1,5.0,2,0,2,0,7.34,1468.0,400.0,0.0,2,134,10.83,-0.18,NORMAL RISK
BEECAN HEALTH,ROYAL GARDENS HEALTHCARE,CA,623110,Skilled nursing facilities,21,6.0,7,0,0,1,8.8,1466.67,1166.67,0.0,1,30,13.46,-0.27,NORMAL RISK
R &K Development,R &K Development,NV,236118,"Home improvement (e.g., adding on, remodeling, renovating), single-family housing, general contractors",1,5.0,1,0,1,1,7.31,1462.0,200.0,0.0,2,281,5.93,0.13,NORMAL RISK
The Container Store,097/Palm Beach Gardens,FL,442299,All Other Home Furnishings Stores,21,6.0,3,0,0,3,8.77,1461.67,500.0,0.0,3,127,4.58,0.3,NORMAL RISK
US Postal Service,GROVE HALL_1365780,MA,491110,Mail and Parcel Delivery,21,25.0,13,0,10,0,36.52,1460.8,520.0,0.0,10,352,9.91,1.74,ABOVE AVERAGE RISK
Weigand Omega Management,21 Rock Apartments,KS,531311,Residential property managing,1,2.0,1,0,0,1,2.92,1460.0,500.0,0.0,1,42,1.79,0.14,NORMAL RISK
Curtin Co,Curtin Co Trucking Divison,VA,484110,"General freight trucking, local",1,6.0,3,0,1,2,8.75,1458.33,500.0,0.0,3,75,7.49,0.11,NORMAL RISK
E0073-Tidal Wave Auto Spa of Belleview NE,E0073-Tidal Wave Auto Spa of Belleview NE,NE,811192,Car washes,1,6.0,3,0,2,1,8.74,1456.67,500.0,0.0,3,24,1.98,1.72,ABOVE AVERAGE RISK
Foster Fuels,Dallas,TX,424720,Petroleum and Petroleum Products Merchant Wholesalers except Bulk Stations and Terminals,1,3.0,2,0,0,1,4.37,1456.67,666.67,0.0,1,87,2.9,0.27,NORMAL RISK
SSA Atlantic,"Savannah, GA 542",GA,488320,Stevedoring services,1,4.0,2,0,1,0,5.8,1450.0,500.0,0.0,1,180,16.98,-0.4,NORMAL RISK
"Walker's Furniture, Inc.","Walker's Furniture, Inc-#12",OR,442110,"Furniture and appliance stores (i.e., primarily retailing furniture)",1,3.0,1,0,1,0,4.35,1450.0,333.33,0.0,1,135,3.67,0.06,NORMAL RISK
Posner Industries,Posner Industries - Chantilly,VA,423450,"Appliances, surgical, merchant wholesalers",1,4.0,2,0,1,1,5.8,1450.0,500.0,0.0,2,30,5.13,0.05,NORMAL RISK
"Upstate NY Bottle & Can Retrieval Center, LLC",Griffs - RT 37,NY,423930,"Recyclable materials (e.g., glass, metal, paper) merchant wholesalers",1,4.0,2,0,1,0,5.8,1450.0,500.0,0.0,1,180,3.77,0.29,NORMAL RISK
ROLLING FRITO LAY SALES,CARROLL,IA,424450,Confectionery Merchant Wholesalers,1,4.0,2,0,1,0,5.8,1450.0,500.0,0.0,1,180,5.29,0.01,NORMAL RISK
"MEDIEVAL KNIGHTS, LLC",NJ-MKLLC-NEW JERSEY,NJ,711110,DINNER AND THEATRE,22,50.0,28,0,5,18,72.37,1447.4,560.0,0.0,23,737,15.53,1.97,ABOVE AVERAGE RISK
Warsaw Meadows Care Center,Warsaw Meadows Care center,IN,623110,Skilled nursing facilities,21,5.0,4,0,0,2,7.21,1442.0,800.0,0.0,2,21,13.46,-0.36,NORMAL RISK
MD OMG EMP LLC,Holly Hill Healthcare Center,MD,623110,Nursing Care Facilities,21,52.0,14,0,26,4,74.96,1441.54,269.23,0.0,30,296,13.46,3.53,CRITICAL OUTLIER
Priority Signs,Priority-Franksville,WI,339950,Electrical signs manufacturing,1,4.0,2,0,1,1,5.76,1440.0,500.0,0.0,2,26,4.07,0.25,NORMAL RISK
Lombard Investment Company,Lombard Architectural Precast Products Company,IL,327390,"Precast concrete products (except brick, block, pipe) manufacturing",21,34.0,17,0,5,6,48.9,1438.24,500.0,0.0,11,1290,7.34,3.84,CRITICAL OUTLIER
"Hugoson Pork, Inc","Hugoson Pork, Inc. - Wean to Finish",MN,112210,Farrow-to-finish operations,1,9.0,7,0,0,3,12.92,1435.56,777.78,0.0,3,142,7.12,0.21,NORMAL RISK
US Postal Service,MANAYUNK_1371599,PA,491110,Mail and Parcel Delivery,1,10.0,4,0,4,1,14.34,1434.0,400.0,0.0,5,84,9.91,0.29,NORMAL RISK
Clean Harbors,Clean Harbors Environmental Services Inc 10MPM,AR,811111,,1,3.0,1,0,0,1,4.3,1433.33,333.33,0.0,1,180,3.0,0.14,NORMAL RISK
US Postal Service,LITCHFIELD_1370606,ME,491110,Mail and Parcel Delivery,1,6.0,2,1,0,1,8.6,1433.33,333.33,166.67,6,10,9.91,-0.09,NORMAL RISK
Dayton Freight Lines Inc.,642-LKNLH,MN,484122,Transportation,1,3.0,1,0,0,1,4.3,1433.33,333.33,0.0,1,180,10.61,-0.39,NORMAL RISK
"Scelzi Enterprises, Inc","Scelzi Enterprises, Inc",CA,336211,Truck bodies and cabs manufacturing,21,60.0,49,0,6,13,85.88,1431.33,816.67,0.0,19,538,16.62,2.65,HIGH RISK OUTLIER
CBRE Inc,CBRE-S12-FPS-Charlottesville-1500 State Farm Blvd,VA,561210,Activities related to Real Estate and Facilities Support Services,1,3.0,1,0,1,0,4.29,1430.0,333.33,0.0,1,129,1.67,0.19,NORMAL RISK
